sample,exposure,concentration,well,fish,n_peaks,mean_ibi_ms,sdnn_ms,rmssd_ms,cv_ibi,pnn50,mean_hr_bpm,arrhythmia_risk_score,arrhythmia_probability,arrhythmia_score_cv,arrhythmia_score_rmssd,arrhythmia_score_outlier,arrhythmia_outlier_fraction,arrhythmia_data_sufficient,arrhythmia_quality_flag,arrhythmia_ibi_count,arrhythmia_threshold,paired_ttest_pvalue_vs_control0_mean_ibi,paired_ttest_pvalue_terf_vs_phe_mean_ibi,uncoupled_peak_count,uncoupled_peak_fraction,contraction_amplitude_mean,contraction_amplitude_std,contraction_amplitude_range,force_of_contraction_mean_au,force_of_contraction_std_au,force_of_contraction_peak_au,transient_rise_time_mean_ms,transient_decay_time_mean_ms,transient_fwhm_mean_ms,transient_duration_mean_ms,Arrhymia,snr,baseline_drift
Phe_75_1.2,Phe,75,1,2,31,485.0,20.223835565848596,33.61951005236434,0.041698630032677514,6.896551724137931,123.71134020618557,0.05547143233109827,0.05547143233109827,0.03736135939074605,0.08162706442498198,0.04742587317756678,0.0,True,ok,30,0.5,3.455012773985944e-21,0.4525427598451543,0,0.0,93.70013870967742,6.693362940738509,38.49000000000001,50.77181072210066,16.077379573880286,195.0922,222.04300322580647,238.70970645161285,229.56990645161287,460.7527096774193,False,22.242235693655495,40.99250000000001
Phe_75_1.3,Phe,75,1,3,34,445.959596969697,15.040707216531553,22.630930011207628,0.03372661406713391,9.375,134.541336048604,0.041841241408143125,0.041841241408143125,0.029649802279354397,0.0484480487675082,0.04742587317756678,0.0,True,ok,33,0.5,1.1310082859565923e-21,0.4525427598451543,1,0.029411764705882353,111.91118235294118,9.976566623585025,45.3207,62.67646652078774,28.843367639046207,340.0851,200.49017647058827,218.13727647058818,214.21568529411766,418.6274529411764,False,16.389188595221945,63.10634999999999
Terf_0_1.1,Terf,0,1,1,29,520.2381071428571,9.468558080022621,14.698673001946373,0.018200431590880292,0.0,115.33180514114864,0.030505631446031578,0.030505631446031578,0.01881720711215128,0.025273814048376662,0.04742587317756678,0.0,True,ok,28,0.5,5.750011704503007e-13,0.4525427598451543,0,0.0,145.48182068965517,9.499686055089976,61.889700000000005,66.50888271334793,24.29004328882962,132.4366,261.49431379310334,235.0574103448277,228.16091379310342,496.55172413793105,False,27.582230254844905,45.98340000000002
Terf_0_1.2,Terf,0,1,2,25,587.5000125,236.63552425751504,354.15065887116174,0.4027838625067519,56.52173913043478,102.1276574015392,0.9600957690832405,0.9600957690832405,0.9994914894091839,0.999998739862655,0.8807970779778823,0.25,True,ok,24,0.5,0.0007706642461076116,0.4525427598451543,1,0.04,99.80052400000001,49.46733100279652,222.49830000000003,50.41818796498906,16.57366284579604,135.7191,215.9999440000001,230.66660400000012,248.41269047619048,446.66654800000026,True,31.46105817465346,474.17499999999995
Terf_0_2.1,Terf,0,2,1,20,409.64910526315794,25.64947058272073,32.86710239526913,0.06261327134168534,11.11111111111111,146.4668156945103,0.07498767200243887,0.07498767200243887,0.06776103484589505,0.10977610798385479,0.04742587317756678,0.0,True,ok,19,0.5,0.026633573449019947,0.4525427598451543,0,0.0,91.94178500000001,12.243310574921054,60.20430000000002,68.223438791423,20.73346098489361,140.1808,209.166675,193.33333499999998,201.6666000000001,402.50001,False,20.4551007722347,45.38310000000001
Terf_0_2.2,Terf,0,2,2,23,343.1818090909091,20.353426190106337,33.92335665869264,0.05930799841641577,14.285714285714286,174.83444171746865,0.09550647103629344,0.09550647103629344,0.06175941049747927,0.17733412943383423,0.04742587317756678,0.0,True,ok,22,0.5,2.051958294450275e-10,0.4525427598451543,0,0.0,93.29020000000001,6.029898906735879,26.948599999999985,68.03789486652978,14.941163813686055,118.8485,174.637652173913,165.21740434782612,210.8695956521739,339.85505652173913,False,22.066949179028143,27.4135
Terf_0_2.3,Terf,0,2,3,22,365.8730238095238,17.058915031088723,28.136678317580337,0.04662523312997714,15.0,163.99131965311673,0.06362348702671398,0.06362348702671398,0.04305601126711403,0.10038857663546116,0.04742587317756678,0.0,True,ok,21,0.5,8.625954104286725e-09,0.4525427598451543,0,0.0,115.61644545454547,6.107499083891886,30.17579999999998,73.83704331983806,18.871543822500847,133.0825,162.87880454545456,179.54543636363636,200.00000909090906,342.42424090909094,False,25.132921865955858,34.706199999999995
Terf_0_2.4,Terf,0,2,4,22,365.8730095238095,20.05284137253127,30.505006876109505,0.054808200797950124,10.0,163.99132605624862,0.07371590599458175,0.07371590599458175,0.054384647871492414,0.11933719693468607,0.04742587317756678,0.0,True,ok,21,0.5,7.515410593624015e-08,0.4525427598451543,0,0.0,260.3127909090909,10.466739631528007,43.994200000000006,112.8575866529774,32.750329366007,232.2833,189.39387727272734,145.45455454545456,228.7878272727273,334.8484318181819,False,21.12367128094637,50.83790000000002
Terf_10_1.1,Terf,10,1,1,34,441.4141424242424,10.3088462856855,17.921677600255233,0.023354136840902765,3.125,135.92677314433234,0.03517167129031937,0.03517167129031937,0.02189463232290015,0.036194508370491166,0.04742587317756678,0.0,True,ok,33,0.5,0.08151858923640715,0.4525427598451543,0,0.0,105.45363823529412,5.919790216953318,30.9829,61.46841624588364,17.32013218937131,109.0098,224.99996470588238,192.15690882352936,182.3529176470589,417.1568735294117,False,24.113682838238798,37.962199999999996
Terf_10_1.2,Terf,10,1,2,34,434.8484848484849,36.88463206790131,63.25917204241273,0.08482180196799603,28.125,137.97909407665503,0.21250164661763107,0.21250164661763107,0.12397160677973706,0.46610745989558944,0.04742587317756678,0.0,True,ok,33,0.5,0.6953053364223657,0.4525427598451543,0,0.0,65.48936176470589,5.607155135318093,29.066100000000006,49.39630098792536,13.280359760466455,136.3898,223.5294529411764,150.49017352941178,304.66669199999995,374.0196264705882,False,20.940704885257077,16.944900000000004
Terf_10_1.3,Terf,10,1,3,30,499.99998965517244,9.960198572401879,17.251594132893178,0.019920397556949913,0.0,120.00000248275866,0.0325157558169972,0.0325157558169972,0.019793918877449666,0.030327475395975148,0.04742587317756678,0.0,True,ok,29,0.5,6.985490395095599e-11,0.4525427598451543,0,0.0,130.75354000000002,6.139478771294223,34.778700000000015,70.79724841182914,19.76453152269769,127.0419,253.33330666666672,221.1112399999998,272.77784666666656,474.44454666666655,False,28.16926646027204,53.92864999999999
Terf_20_1.1,Terf,20,1,1,31,396.66667666666666,20.715132086200928,35.959675692565575,0.05222302074950602,10.344827586206897,151.26050038839074,0.08073859388387859,0.08073859388387859,0.05053131157285817,0.14425859690121082,0.04742587317756678,0.0,True,ok,30,0.5,4.2005066759543106e-05,0.4525427598451543,0,0.0,90.50912903225806,10.285444749813317,39.13849999999999,62.33441218206158,11.894693603469904,119.1203,155.37630322580654,197.31186129032255,256.3218793103447,352.68816451612906,False,24.705016551542602,80.4574
